"Name the five primitive data types in OCR H446","Integer, real/float, character (char), string, Boolean"
"How many bits in a nibble and a byte?","A nibble is 4 bits; a byte is 8 bits"
"What range does an 8-bit UNSIGNED integer have?","0 to 255 (2^8 - 1)"
"What range does an 8-bit TWO'S COMPLEMENT integer have?","-128 to +127"
"Why is hexadecimal used as a shorthand for binary?","One hex digit maps exactly to 4 bits (a nibble), so it is a compact, lossless, error-resistant way to read/write binary; used in memory/MAC addresses and colour codes"
"How do you negate a number in two's complement (find -x)?","Invert all the bits (one's complement) then add 1"
"In two's complement, what does the MSB represent?","A NEGATIVE place value (e.g. -128 in 8 bits); if MSB = 1 the number is negative"
"How do you perform binary subtraction A - B?","Compute A + (-B) by adding the two's complement of B; discard any final carry out of the MSB"
"What is overflow?","An error where the result of an operation is too large to fit in the available bits (in signed arithmetic, two same-sign numbers giving a wrong-sign result)"
"What two parts make up a floating point number?","Mantissa (significand) x 2^exponent"
"What does the MANTISSA determine?","Precision / number of significant figures"
"What does the EXPONENT determine?","Range / magnitude (where the binary point goes)"
"How is a POSITIVE number normalised in floating point?","Mantissa starts 0.1... (a 0 sign bit followed by a 1)"
"How is a NEGATIVE number normalised in floating point?","Mantissa starts 1.0... (a 1 sign bit followed by a 0)"
"Why do we normalise floating point numbers?","To remove wasted leading zeros/ones so the mantissa holds the maximum significant figures, giving maximum precision for the available bits"
"State the range vs precision trade-off","With fixed total bits: more mantissa = more precision but less range; more exponent = more range but less precision. You cannot increase both"
"When you move the binary point RIGHT during normalisation, what happens to the exponent?","It decreases by 1 for each place moved right (the mantissa is multiplied by 2, so the exponent must drop to keep the value the same)"
"What is the effect of a LOGICAL SHIFT LEFT by n?","Multiplies by 2^n; zeros fill in from the right; bits shifted off the top are lost (can overflow)"
"What is the effect of a LOGICAL SHIFT RIGHT by n?","Divides by 2^n (integer division); zeros fill in from the left; bits shifted off the end are lost"
"What is an ARITHMETIC SHIFT RIGHT?","Like a logical right shift but the SIGN BIT is preserved (copied in from the left), so it correctly divides a signed (two's complement) number by 2^n"
"What does the bitwise AND operation do and what is it used for?","Output 1 only if both bits are 1; used for MASKING to keep selected bits"
"What does the bitwise XOR operation do?","Output 1 if the bits differ; used to TOGGLE bits, simple encryption and checksums"
"Describe ASCII","Originally 7-bit (128 characters); extended ASCII uses 8 bits for 256. Codes are ordered: 'A'=65, 'a'=97, '0'=48"
"Describe Unicode and its relation to ASCII","Uses more bits (e.g. UTF-8, 1-4 bytes) to represent every language plus emoji/symbols; the first 128 codes match ASCII, so it is backward-compatible"
"Compare static and dynamic data structures","Static = fixed size at declaration, contiguous memory (e.g. array). Dynamic = grows/shrinks at run time, allocated from the heap (e.g. linked list)"
"Define an array","An ordered, fixed-size collection of elements of the SAME data type, accessed by index, stored contiguously giving O(1) random access"
"How does a list differ from a tuple?","A list is mutable and can change size; a tuple is immutable (cannot be changed once created)"
"Define a linked list","A dynamic structure of nodes, each holding data and a pointer to the next node; a head pointer marks the start and the last node's pointer is null"
"Give one advantage and one disadvantage of a linked list","Advantage: easy insertion/deletion by repointing pointers, grows dynamically. Disadvantage: no random access (must traverse from head); pointer storage overhead"
"What does LIFO mean and which structure uses it?","Last In, First Out - a STACK; push/pop at the top"
"What does FIFO mean and which structure uses it?","First In, First Out - a QUEUE; enqueue at the rear, dequeue at the front"
"How does a circular queue reuse space?","The rear (and front) wrap around using modulo arithmetic: rear = (rear + 1) MOD size, reusing slots freed by dequeuing"
"What is a priority queue?","A queue where each item has a priority and the highest-priority item is dequeued first, regardless of arrival order"
"What is the ordering property of a binary search tree (BST)?","For every node, all values in the left subtree are smaller and all in the right subtree are larger than the node"
"Name the three BST traversals and what in-order gives","Pre-order (root, left, right), In-order (left, root, right), Post-order (left, right, root); in-order visits a BST in ascending order"
"What is a hash table and how does it achieve fast lookup?","Stores key-value pairs in an array; a hash function converts a key to an array index (e.g. key MOD tableSize), giving near O(1) lookup/insert"
"What is a collision and how is it resolved?","Two keys hashing to the same index; resolved by open addressing/linear probing (next free slot) or chaining (a linked list at each slot)"
"Compare an adjacency matrix and an adjacency list","Matrix: 2D array, O(1) edge lookup, best for DENSE graphs but wastes space on sparse. List: each node stores its neighbours, memory-efficient, best for SPARSE graphs but slower edge checks"
"State De Morgan's laws","NOT(A.B) = NOT A + NOT B, and NOT(A+B) = NOT A . NOT B ('break the bar, change the sign')"
"State the Boolean complement (inverse) laws","A . NOT A = 0, and A + NOT A = 1"
"What are the outputs of a HALF ADDER?","Sum = A XOR B; Carry = A AND B. It cannot accept a carry-in"
"What are the outputs of a FULL ADDER?","Sum = A XOR B XOR Cin; Cout = (A.B) + (Cin.(A XOR B)). It adds three bits and can be chained into a ripple-carry adder"
"What is a D-type flip-flop?","An edge-triggered 1-bit memory (sequential logic) element that stores the D input on the active clock edge and presents it at Q until the next clock edge; used in registers and counters"
"Convert 1101 0110 to hex","D6"
"Convert denary 172 to 8-bit binary","1010 1100"
"Convert binary 1010 1100 to hex","AC"
"What is 0000 0110 (6) after a logical shift left by 1?","0000 1100 (= 12)"
