"Name the three basic programming constructs.","Sequence, selection (branching) and iteration (looping)."
"What is sequence?","Instructions carried out one after another, in the order written; order matters."
"Difference between count-controlled and condition-controlled iteration?","Count-controlled repeats a fixed, known number of times (for); condition-controlled repeats until a condition changes (while / do...until)."
"Difference between a while loop and a do...until loop?","while tests the condition at the start (may run zero times); do...until tests at the end (always runs at least once)."
"Which loop is best for input validation and why?","do...until, because you must ask for input at least once before you can test it."
"What is recursion?","A subroutine (function or procedure) that calls itself to solve a problem."
"What two parts must every correct recursive subroutine have?","A base case (stops the recursion) and a general/recursive case (calls itself with a value closer to the base case)."
"What happens if a recursive routine has no reachable base case?","It calls itself indefinitely, filling the call stack until memory runs out — a stack overflow."
"How is the call stack used in recursion?","Each call pushes a stack frame (parameters, local variables, return address); frames are popped in reverse (LIFO) order as calls return."
"Give two differences between recursion and iteration.","Recursion uses more memory (a frame per call) and is generally slower; iteration uses one set of variables and is generally faster."
"What is variable scope?","The region of a program in which a variable can be accessed (is visible)."
"What is a local variable?","A variable declared inside a subroutine, accessible only within it and existing only while it runs."
"What is a global variable?","A variable declared in the main program, accessible (and changeable) anywhere in the program."
"Give two reasons to prefer local variables.","Fewer side effects / accidental changes, memory freed when the subroutine ends, more modular and easier to debug (any two)."
"What is modularity and give one benefit.","Breaking a large program into smaller self-contained subroutines, each doing one task; benefit: easier to write/test/debug, reuse, or team parallel work."
"Difference between a function and a procedure?","A function returns a (single) value; a procedure performs a task but returns no value."
"Difference between a parameter and an argument?","A parameter is the variable in the subroutine's definition; an argument is the actual value supplied when it is called."
"What does passing by value mean?","A copy of the argument's value is passed; changes inside the subroutine do not affect the original variable."
"What does passing by reference mean?","The memory address of the original variable is passed; changes inside the subroutine do affect the original."
"Give one advantage each of by value and by reference.","By value: safer, avoids unintended side effects. By reference: efficient for large data (no copy) and can return changes through the parameter."
"What is an IDE?","Integrated Development Environment — one application giving the tools to write, test and debug code."
"Name three IDE debugging features.","Breakpoints (pause at a line), stepping (run one line at a time), variable watch/watch window (inspect values at run time)."
"Name two IDE editing features that speed up writing code.","Syntax highlighting, code completion/auto-complete (intellisense), auto-indentation/pretty-printing, error highlighting (any two)."
"What is a class and what is an object?","A class is a template/blueprint defining attributes and methods; an object is a specific instance of a class created at run time."
"Difference between an attribute and a method?","An attribute is a data item (variable) belonging to an object; a method is a subroutine (behaviour) belonging to a class."
"What is a constructor?","A special method that runs when an object is created, used to initialise its attributes (often 'new' in OCR ERL)."
"What is encapsulation?","Bundling attributes and methods inside a class and keeping attributes private, accessed only through public methods (data hiding)."
"What are getters and setters?","Public methods that read (getter/accessor) and write (setter/mutator) private attributes in a controlled way; a setter can validate first."
"What is inheritance?","A subclass (child) acquiring the attributes and methods of a superclass (parent), modelling an 'is-a' relationship and promoting reuse."
"What is polymorphism?","The same method call behaving differently depending on the object's class; most commonly achieved by overriding a method in a subclass."
"Difference between overriding and overloading?","Overriding: a subclass replaces an inherited method with the same name and parameters. Overloading: several methods share a name but have different parameter lists."
"List three features that make a problem solvable by computational methods.","Can be decomposed into sub-problems, has clear inputs/processes/outputs, is repetitive/rule-based, useful abstractions can be made, data can be structured (any three)."
"What is decomposition?","Breaking a complex problem into smaller, more manageable sub-problems that can each be solved and tested individually."
"What is divide and conquer?","Repeatedly dividing a problem into parts, solving each part, then combining the results (e.g. binary search, merge sort)."
"Difference between decomposition and divide and conquer?","Decomposition breaks a problem into different sub-tasks; divide and conquer breaks it into smaller instances of the same problem and combines their solutions."
"What is abstraction?","Removing or hiding unnecessary detail so you focus only on the information needed to solve the problem."
"Name the two types of abstraction.","Representational abstraction (remove unneeded detail, e.g. Tube map) and abstraction by generalisation (group by shared characteristics)."
"What is backtracking and where is it used?","Building a solution step by step and reversing on dead ends to try alternatives; used in mazes, N-Queens, Sudoku and pathfinding."
"What is data mining and where is it used?","Searching large data sets to discover hidden patterns/trends; used in supermarket loyalty-card analysis and fraud detection."
"What is a heuristic and where is it used?","A rule-of-thumb giving a good-enough (not guaranteed optimal) answer quickly; used in satnav routing (A*) and the Travelling Salesman Problem."
"What is performance modelling and where is it used?","Using a mathematical/computational model to predict how a system will perform instead of testing the real thing; used for server load or aircraft systems."
"What is pipelining and where is it used?","Splitting a process into stages so different items are processed at the same time; used in the CPU fetch-decode-execute cycle."
"What is visualisation and where is it used?","Representing data graphically (charts, maps, heat maps) to reveal patterns for humans; used for sales trends or website click heat maps."
"Apply: a satnav must route across a huge road network where the exact route is too slow to compute. Which method and why?","A heuristic — it finds a good-enough route quickly because computing the optimal route is intractable for a large network."
"Apply: trace factorial(3) where factorial(n)=n*factorial(n-1), base case n==0 returns 1.","factorial(0)=1, factorial(1)=1, factorial(2)=2, factorial(3)=6."
"Apply: why does deep recursion risk a stack overflow?","Each active call adds a frame to the call stack; too many simultaneous frames exhaust the available memory."
